5b08654, bhaveen@gmail.com, Wed, 29 Oct 2014 01:26:22 -0600, Updated logic for opengate method Encapsulated management instance creation Updated logi for Credit card Added new test cases for TransactionManagement.
6862c2f, bhaveen@gmail.com, Tue, 28 Oct 2014 23:38:16 -0600, Refactored Transactionmangement and FraudPrevention test cases Refactored TicketManagement for encapsulation.
4f1457d, bhaveen@gmail.com, Tue, 28 Oct 2014 23:25:36 -0600, Refactored code for Encapsulating GateManagement class.
00fe025, bhaveen@gmail.com, Tue, 28 Oct 2014 22:57:06 -0600, Refactored Payment and transaction processing method.
0fe729d, bhaveen@gmail.com, Tue, 28 Oct 2014 22:06:28 -0600, Updated code
da9c542, bhaveen@gmail.com, Tue, 28 Oct 2014 18:06:10 -0600, Updated paymentmangement with credit card processing.
37d77e1, bhaveen@gmail.com, Tue, 28 Oct 2014 18:04:19 -0600, Refatored code.
1d2e086, bhaveen@gmail.com, Tue, 28 Oct 2014 18:03:55 -0600, Removed unused methods from FraudPrevention.
5a849d7, bhaveen@gmail.com, Tue, 28 Oct 2014 18:02:53 -0600, Refactored   code according to  level of indirection concept.
39c679c, bhaveen@gmail.com, Tue, 28 Oct 2014 18:01:53 -0600, Removed unused fields from Creditcard
3346bc6, bhaveen@gmail.com, Tue, 28 Oct 2014 14:02:28 -0600, Code clened up.
793b5af, bhaveen@gmail.com, Tue, 28 Oct 2014 14:02:02 -0600, Remove unused Controller.
31d57fc, bhaveen@gmail.com, Tue, 28 Oct 2014 13:11:25 -0600, Refactored   Report test cases and updated UI logic for occupancy label.
3b49b69, bhaveen@gmail.com, Tue, 28 Oct 2014 12:22:50 -0600, Updated occupancy logic
21641ee, bhaveen@gmail.com, Tue, 28 Oct 2014 12:22:17 -0600, Updated parking display code
6827550, bhaveen@gmail.com, Tue, 28 Oct 2014 12:06:48 -0600, Updated test case for occupancy
89a6db6, bhaveen@gmail.com, Tue, 28 Oct 2014 11:49:06 -0600, Refactored code
0a7dccd, bhaveen@gmail.com, Tue, 28 Oct 2014 09:10:36 -0600, Added new testcases for OccupancyManagement
af0089d, bhaveen@gmail.com, Tue, 28 Oct 2014 08:57:05 -0600, Added ReportType Enum and added testcases for Report.
0b5e7b3, bhaveen@gmail.com, Tue, 28 Oct 2014 02:11:48 -0600, removed unused files
